Year,Age,ASFR
1975,15,0.00004
1975,16,0.00039
1975,17,0.00184
1975,18,0.00527
1975,19,0.01282
1975,20,0.02815
1975,21,0.05511
1975,22,0.09422
1975,23,0.14138
1975,24,0.18419
1975,25,0.21235
1975,26,0.21686
1975,27,0.20039
1975,28,0.17535
1975,29,0.14089
1975,30,0.11398
1975,31,0.08679
1975,32,0.06657
1975,33,0.04925
1975,34,0.03682
1975,35,0.02648
1975,36,0.01899
1975,37,0.01344
1975,38,0.00992
1975,39,0.00663
1975,40,0.00454
1975,41,0.00275
1975,42,0.00187
1975,43,0.00103
1975,44,0.00048
1975,45,0.00024
1975,46,0.0001
1975,47,0.00005
1975,48,0.00002
1975,49,0.00001
1975,50,0
1975,51,0
1975,52,0
1975,53,0
1975,54,0
1975,55+,0
1976,-12,0
1976,13,0
1976,14,0.00001
1976,15,0.00004
1976,16,0.00042
1976,17,0.00184
1976,18,0.00477
1976,19,0.01135
1976,20,0.02517
1976,21,0.04989
1976,22,0.08768
1976,23,0.13606
1976,24,0.17797
1976,25,0.20216
1976,26,0.21196
1976,27,0.19983
1976,28,0.17483
1976,29,0.14367
1976,30,0.10928
1976,31,0.08341
1976,32,0.0635
1976,33,0.0477
1976,34,0.03428
1976,35,0.02492
1976,36,0.01806
1976,37,0.01254
1976,38,0.00879
1976,39,0.00622
1976,40,0.00402
1976,41,0.00268
1976,42,0.00165
1976,43,0.0009
1976,44,0.00048
1976,45,0.00025
1976,46,0.0001
1976,47,0.00004
1976,48,0.00003
1976,49,0.00001
1976,50,0
1976,51,0
1976,52,0
1976,53,0
1976,54,0
1976,55+,0
1977,-12,0
1977,13,0
1977,14,0.00002
1977,15,0.00005
1977,16,0.00044
1977,17,0.00165
1977,18,0.00452
1977,19,0.01044
1977,20,0.02189
1977,21,0.04434
1977,22,0.07856
1977,23,0.12578
1977,24,0.17205
1977,25,0.19591
1977,26,0.20302
1977,27,0.19671
1977,28,0.17453
1977,29,0.14447
1977,30,0.11332
1977,31,0.08203
1977,32,0.06217
1977,33,0.04719
1977,34,0.03396
1977,35,0.02406
1977,36,0.01779
1977,37,0.01186
1977,38,0.00855
1977,39,0.00573
1977,40,0.00387
1977,41,0.00253
1977,42,0.00159
1977,43,0.00091
1977,44,0.00046
1977,45,0.00024
1977,46,0.00012
1977,47,0.00004
1977,48,0.00002
1977,49,0.00001
1977,50,0
1977,51,0
1977,52,0
1977,53,0
1977,54,0
1977,55+,0
1978,-12,0
1978,13,0
1978,14,0.00002
1978,15,0.00007
1978,16,0.00044
1978,17,0.00179
1978,18,0.00445
1978,19,0.01066
1978,20,0.02102
1978,21,0.04056
1978,22,0.07325
1978,23,0.11849
1978,24,0.16619
1978,25,0.19537
1978,26,0.20512
1978,27,0.19437
1978,28,0.17673
1978,29,0.14873
1978,30,0.11575
1978,31,0.08696
1978,32,0.06246
1978,33,0.04623
1978,34,0.03384
1978,35,0.02422
1978,36,0.01694
1978,37,0.01184
1978,38,0.00835
1978,39,0.00566
1978,40,0.0037
1978,41,0.00235
1978,42,0.00146
1978,43,0.00088
1978,44,0.00041
1978,45,0.00019
1978,46,0.00009
1978,47,0.00004
1978,48,0.00003
1978,49,0.00001
1978,50,0
1978,51,0
1978,52,0
1978,53,0
1978,54,0
1978,55+,0
1979,-12,0
1979,13,0
1979,14,0.00001
1979,15,0.00005
1979,16,0.00047
1979,17,0.00183
1979,18,0.00473
1979,19,0.01067
1979,20,0.02127
1979,21,0.03915
1979,22,0.06779
1979,23,0.11216
1979,24,0.15897
1979,25,0.19111
1979,26,0.20278
1979,27,0.19612
1979,28,0.17293
1979,29,0.14881
1979,30,0.11819
1979,31,0.08834
1979,32,0.06531
1979,33,0.04708
1979,34,0.03306
1979,35,0.02382
1979,36,0.01688
1979,37,0.01141
1979,38,0.00809
1979,39,0.00555
1979,40,0.00359
1979,41,0.00218
1979,42,0.00135
1979,43,0.00082
1979,44,0.00041
1979,45,0.00019
1979,46,0.00007
1979,47,0.00004
1979,48,0.00002
1979,49,0
1979,50,0
1979,51,0
1979,52,0
1979,53,0
1979,54,0
1979,55+,0
1980,-12,0
1980,13,0
1980,14,0.00002
1980,15,0.00005
1980,16,0.00052
1980,17,0.00205
1980,18,0.00504
1980,19,0.01126
1980,20,0.02177
1980,21,0.0389
1980,22,0.06489
1980,23,0.10462
1980,24,0.15309
1980,25,0.18621
1980,26,0.20164
1980,27,0.1947
1980,28,0.17433
1980,29,0.14497
1980,30,0.11821
1980,31,0.08936
1980,32,0.06634
1980,33,0.04865
1980,34,0.03329
1980,35,0.02342
1980,36,0.01702
1980,37,0.01166
1980,38,0.00795
1980,39,0.00567
1980,40,0.00358
1980,41,0.00223
1980,42,0.00142
1980,43,0.00078
1980,44,0.00038
1980,45,0.0002
1980,46,0.00007
1980,47,0.00004
1980,48,0.00001
1980,49,0.00001
1980,50,0
1980,51,0
1980,52,0
1980,53,0
1980,54,0
1980,55+,0
1981,-12,0
1981,13,0
1981,14,0.00002
1981,15,0.00007
1981,16,0.00059
1981,17,0.00215
1981,18,0.00531
1981,19,0.01161
1981,20,0.02214
1981,21,0.03867
1981,22,0.06385
1981,23,0.09978
1981,24,0.14321
1981,25,0.18174
1981,26,0.19906
1981,27,0.19363
1981,28,0.17612
1981,29,0.14872
1981,30,0.11866
1981,31,0.09143
1981,32,0.06902
1981,33,0.05057
1981,34,0.03593
1981,35,0.02479
1981,36,0.01742
1981,37,0.01181
1981,38,0.00831
1981,39,0.00559
1981,40,0.00357
1981,41,0.00227
1981,42,0.00139
1981,43,0.00076
1981,44,0.00038
1981,45,0.00016
1981,46,0.00007
1981,47,0.00002
1981,48,0.00002
1981,49,0.00001
1981,50,0
1981,51,0
1981,52,0
1981,53,0
1981,54,0
1981,55+,0
1982,-12,0
1982,13,0
1982,14,0.00002
1982,15,0.00006
1982,16,0.00068
1982,17,0.00235
1982,18,0.00556
1982,19,0.01229
1982,20,0.02175
1982,21,0.03835
1982,22,0.06225
1982,23,0.09845
1982,24,0.13971
1982,25,0.17578
1982,26,0.20075
1982,27,0.19849
1982,28,0.18151
1982,29,0.15513
1982,30,0.12464
1982,31,0.09398
1982,32,0.07245
1982,33,0.05364
1982,34,0.03838
1982,35,0.02688
1982,36,0.01869
1982,37,0.01229
1982,38,0.00859
1982,39,0.00577
1982,40,0.00371
1982,41,0.00231
1982,42,0.00143
1982,43,0.00076
1982,44,0.00035
1982,45,0.00018
1982,46,0.00009
1982,47,0.00004
1982,48,0.00001
1982,49,0
1982,50,0
1982,51,0
1982,52,0
1982,53,0
1982,54,0
1982,55+,0
1983,-12,0
1983,13,0
1983,14,0.00002
1983,15,0.0001
1983,16,0.00069
1983,17,0.00264
1983,18,0.00625
1983,19,0.01285
1983,20,0.0233
1983,21,0.0384
1983,22,0.06119
1983,23,0.09441
1983,24,0.13843
1983,25,0.17395
1983,26,0.19555
1983,27,0.20098
1983,28,0.18631
1983,29,0.16242
1983,30,0.13146
1983,31,0.10073
1983,32,0.07539
1983,33,0.05704
1983,34,0.04128
1983,35,0.02869
1983,36,0.02013
1983,37,0.0131
1983,38,0.00915
1983,39,0.00606
1983,40,0.00387
1983,41,0.00235
1983,42,0.00143
1983,43,0.00078
1983,44,0.00039
1983,45,0.00018
1983,46,0.00007
1983,47,0.00002
1983,48,0.00001
1983,49,0.00001
1983,50,0
1983,51,0
1983,52,0
1983,53,0
1983,54,0
1983,55+,0
1984,-12,0
1984,13,0
1984,14,0.00002
1984,15,0.0001
1984,16,0.00084
1984,17,0.00261
1984,18,0.00616
